pathway_id	gene_id	counts	symbol	kegg_id	flybase_id				
dme00010	3771877	8	Adh	CG3481	FBgn0000055				
dme00010	43183	6	Ald	CG6058	FBgn0000064				
dme00010	34256	13	Aldh	CG3752	FBgn0012036				
dme00010	45398	8	Aldh-III	CG11140	FBgn0010548				
dme00010	38697	3	CG10467	CG10467	FBgn0035679				
dme00010	32345	3	CG10996	CG10996	FBgn0030525				
dme00010	40409	6	CG11249	CG11249	FBgn0037115				
dme00010	43437	5	CG11876	CG11876	FBgn0039635				
dme00010	39945	6	CG12229	CG12229	FBgn0036723				
dme00010	36510	5	CG13334	CG13334	FBgn0033856				
dme00010	40946	5	CG2767	CG2767	FBgn0037537				
dme00010	33475	6	CG2964	CG2964	FBgn0031462				
dme00010	43244	13	CG31075	CG31075	FBgn0051075				
dme00010	261603	3	CG32445	CG32445	FBgn0052445				
dme00010	34586	3	CG4988	CG4988	FBgn0032372				
dme00010	34021	5	CG5261	CG5261	FBgn0031912				
dme00010	43189	6	CG5432	CG5432	FBgn0039425				
dme00010	39555	3	CG6650	CG6650	FBgn0036402				
dme00010	31407	5	CG7024	CG7024	FBgn0029722				
dme00010	42621	6	CG7069	CG7069	FBgn0038952				
dme00010	41787	6	CG7362	CG7362	FBgn0038258				
dme00010	34779	2	CG9008	CG9008	FBgn0028540				
dme00010	36904	4	CG9010	CG9010	FBgn0034173				
dme00010	40097	15	CG9629	CG9629	FBgn0036857				
dme00010	33459	4	CG9961	CG9961	FBgn0031451				
dme00010	40348	5	Dsim\AcCoAS	CG9390	FBgn0062293				
dme00010	40406	3	Dsim\CG32444	CG32444	FBgn0084362				
dme00010	39988	7	Dsim\CG7430	CG7430	FBgn0086185				
dme00010	33351	5	Eno	CG17654	FBgn0000579				
dme00010	35265	5	fbp	CG31692	FBgn0032820				
dme00010	41311	9	Fdh	CG6598	FBgn0011768				
dme00010	33476	5	G6P	CG15400	FBgn0031463				
dme00010	35728	4	Gapdh1	CG12055	FBgn0001091				
dme00010	32545	4	Gapdh2	CG8893	FBgn0001092				
dme00010	45875	7	Hex-A	CG3001	FBgn0001186				
dme00010	44008	7	Hex-C	CG8094	FBgn0001187				
dme00010	117364	7	Hex-t1	CG33102	FBgn0042711				
dme00010	43191	7	Hex-t2	CG32849	FBgn0042710				
dme00010	45880	5	ImpL3	CG10160	FBgn0001258				
dme00010	31406	5	l(1)G0334	CG7010	FBgn0028325				
dme00010	37131	5	Pepck	CG17725	FBgn0003067				
dme00010	37130	5	Pepck	CG10924	FBgn0003067				
dme00010	36060	7	Pfk	CG4001	FBgn0003071				
dme00010	35886	6	Pgi	CG8251	FBgn0003074				
dme00010	33461	4	Pgk	CG3127	FBgn0250906				
dme00010	43447	5	Pglym78	CG1721	FBgn0014869				
dme00010	46246	5	Pglym87	CG17645	FBgn0011270				
dme00010	44010	7	Pgm	CG5165	FBgn0003076				
dme00010	35923	7	Pmm45A	CG8073	FBgn0033377				
dme00010	42620	6	PyK	CG7070	FBgn0267385				
dme00010	43582	6	Tpi	CG2171	FBgn0086355				
dme00020	44149	6	Acon	CG9244	FBgn0010100				
dme00020	36760	2	ATPCL	CG8322	FBgn0020236				
dme00020	39469	6	CG10748	CG10748	FBgn0036327				
dme00020	39470	6	CG10749	CG10749	FBgn0036328				
dme00020	43437	5	CG11876	CG11876	FBgn0039635				
dme00020	41468	6	CG14740	CG14740	FBgn0037988				
dme00020	318995	4	CG31874	CG31874	FBgn0051874				
dme00020	317829	5	CG32026	CG32026	FBgn0052026				
dme00020	317974	5	CG33791	CG33791	FBgn0035240				
dme00020	37900	5	CG3483	CG3483	FBgn0035005				
dme00020	31606	4	CG4095	CG4095	FBgn0029890				
dme00020	41326	6	CG4706	CG4706	FBgn0037862				
dme00020	43102	5	CG5028	CG5028	FBgn0039358				
