gene_id	symbol	flybase
30970	CG3038	FBgn0040373
30971	G9a	FBgn0040372
30972	CG13377	FBgn0261446
30973	cin	FBgn0000316
30975	ewg	FBgn0005427
30976	CG13375	FBgn0040370
30977	CG12470	FBgn0040371
30978	Or1a	FBgn0029521
30979	CG3777	FBgn0024989
30980	y	FBgn0004034
30981	ac	FBgn0000022
30982	sc	FBgn0004170
30983	l(1)sc	FBgn0002561
30984	pcl	FBgn0011822
30985	ase	FBgn0000137
30986	Cyp4g1	FBgn0010019
30988	CG13373	FBgn0029522
30990	CG3176	FBgn0029524
30991	CG18273	FBgn0029525
30994	CG3156	FBgn0023536
30995	CG17896	FBgn0023537
30996	CG17778	FBgn0023534
30998	svr	FBgn0004648
31000	elav	FBgn0260400
31001	CG4293	FBgn0024983
31002	Appl	FBgn0000108
31003	vnd	FBgn0261930
31004	CG13366	FBgn0025633
31005	CG13365	FBgn0029529
31006	mod(r)	FBgn0016038
31007	CG13369	FBgn0025640
31009	RpL36	FBgn0002579
31010	l(1)1Bi	FBgn0001341
31011	Dredd	FBgn0020381
31012	su(s)	FBgn0003575
31013	CG13367	FBgn0025634
31014	Roc1a	FBgn0025638
31015	Hmt4-20	FBgn0025639
31016	skpA	FBgn0025637
31017	sdk	FBgn0021764
31018	CG13362	FBgn0029531
31019	CG13361	FBgn0029532
31020	CG5254	FBgn0040383
31021	CG5273	FBgn0040382
31022	RpL22	FBgn0015288
31023	fz3	FBgn0027343
31024	tw	FBgn0086368
31025	CG13360	FBgn0025620
31026	CG16989	FBgn0025621
31027	Rbf	FBgn0015799
31028	CG13359	FBgn0025616
31029	CG13358	FBgn0026874
31030	Sec22	FBgn0260855
31031	CG43867	FBgn0264449
31032	CG14635	FBgn0029535
31033	CG11664	FBgn0040341
31036	CG11663	FBgn0029539
31037	CG3711	FBgn0040344
31038	MED22	FBgn0040339
31039	CG3708	FBgn0040345
31042	TRAM	FBgn0040340
31043	CG3704	FBgn0040346
31044	mus81	FBgn0040347
31045	CG3703	FBgn0040348
31046	CG3699	FBgn0040349
31047	CG3690	FBgn0040350
31048	TfIIA-S-2	FBgn0040338
31049	CG14631	FBgn0029552
31050	CG11638	FBgn0040351
31052	CDC45L	FBgn0026143
31054	su(w[a])	FBgn0003638
31055	CG14629	FBgn0040398
31056	CG3655	FBgn0040397
31057	CG14628	FBgn0040365
31059	eIF4E-7	FBgn0040368
31060	CG11378	FBgn0040364
31061	CG11384	FBgn0040363
31062	CG11379	FBgn0040362
31063	CG14627	FBgn0040361
31064	CG14626	FBgn0040360
31065	CG11380	FBgn0040359
31066	CG14625	FBgn0040358
31067	CG11381	FBgn0029568
31068	CG14624	FBgn0040357
31069	CG11382	FBgn0040367
31070	CG11398	FBgn0040366
31071	CG3638	FBgn0261444
31072	CG11403	FBgn0026876
31074	CG32812	FBgn0025642
31075	DAAM	FBgn0025641
31078	CG11409	FBgn0024366
31079	CG11412	FBgn0024362
31080	Tsp2A	FBgn0024361
31081	CG11418	FBgn0024360
31082	CG12773	FBgn0024365
31083	CG11417	FBgn0024364
31084	png	FBgn0000826
31085	CG14770	FBgn0029573
31086	ssx	FBgn0024987
31089	CG32813	FBgn0052813
31090	CG11448	FBgn0024985
31093	Gr2a	FBgn0265139
31094	CG14785	FBgn0027795
31095	CG14786	FBgn0027794
31096	CG14787	FBgn0027793
31097	Ns3	FBgn0266284
31098	O-fut2	FBgn0027791
31099	CG14777	FBgn0026872
31100	CG14778	FBgn0029580
31101	pck	FBgn0013720
31102	CG14780	FBgn0025383
31103	Rab27	FBgn0025382
31104	mei-38	FBgn0260986
31105	rush	FBgn0025381
31106	sta	FBgn0003517
31107	Nmdar2	FBgn0053513
31109	CG14795	FBgn0025393
31110	inc	FBgn0025394
31111	Mur2B	FBgn0025390
31115	CG11509	FBgn0029584
31118	dor	FBgn0000482
31119	CG3740	FBgn0023530
31120	hfw	FBgn0001189
31121	CG32809	FBgn0023531
31123	CG14797	FBgn0029587
31124	b6	FBgn0024897
31126	CG14798	FBgn0029588
31127	a6	FBgn0023130
31128	CG3795	FBgn0025378
31129	Scgdelta	FBgn0025391
31130	Adar	FBgn0026086
31131	CG14810	FBgn0029589
31132	CG14811	FBgn0029590
31136	CG42666	FBgn0261548
31137	CG14812	FBgn0026090
31139	CG14814	FBgn0023515
31140	MED18	FBgn0026873
31141	Pex5	FBgn0023516
31142	CG14803	FBgn0023513
31143	Pgam5	FBgn0023517
31144	Vps26	FBgn0014411
31145	CG14817	FBgn0026089
31146	CG14805	FBgn0023514
31147	CG14818	FBgn0026088
31148	CG14806	FBgn0029594
31149	trr	FBgn0023518
31150	mRpL16	FBgn0023519
31151	arm	FBgn0000117
31152	CG32801	FBgn0052801
31153	mip130	FBgn0023509
31154	Edem1	FBgn0023511
31155	Rbcn-3B	FBgn0023510
31156	eIF2B-epsilon	FBgn0023512
31157	Ocrl	FBgn0023508
31158	CG11596	FBgn0023522
31160	CG3587	FBgn0023521
31162	Hr4	FBgn0264562
31163	CG4406	FBgn0023545
31165	usp	FBgn0003964
31166	Actn	FBgn0000667
31167	CG4325	FBgn0026878
31168	moody	FBgn0025631
31169	CG4313	FBgn0025632
31170	Sik2	FBgn0025625
31171	CG4281	FBgn0025626
31172	CG14054	FBgn0029596
31173	CG4194	FBgn0025627
31174	CG4199	FBgn0025628
31175	CG4061	FBgn0025630
31176	CG4045	FBgn0025629
31177	CG4025	FBgn0025624
31178	CG16903	FBgn0040394
31179	Unc-76	FBgn0040395
31181	ph-p	FBgn0004861
31184	CG3835	FBgn0023507
31185	Pgd	FBgn0004654
31186	bcn92	FBgn0013432
31187	wapl	FBgn0004655
31188	Cyp4d1	FBgn0005670
31189	CG3630	FBgn0023540
31190	CG3621	FBgn0025839
31192	Cyp4d2	FBgn0011576
31193	Cyp4ae1	FBgn0015036
31194	pn	FBgn0003116
31195	Nmd3	FBgn0023542
31196	CG3457	FBgn0024984
31197	CG14053	FBgn0029603
31198	Mct1	FBgn0023549
31200	msta	FBgn0053548
31201	Vinc	FBgn0004397
31203	CG14052	FBgn0029606
31204	pcx	FBgn0003048
31205	kz	FBgn0001330
31207	Or2a	FBgn0023523
31208	crn	FBgn0000377
31209	CG3191	FBgn0023525
31210	CG3091	FBgn0029608
31211	CG3078	FBgn0023524
31212	temp	FBgn0027296
31213	CG3071	FBgn0023527
31214	CG2924	FBgn0023528
31215	CG2918	FBgn0023529
31217	CG2865	FBgn0023526
31218	CG14050	FBgn0040392
31219	CG2854	FBgn0040391
31220	Ilp6	FBgn0044047
31221	phl	FBgn0003079
31222	mRpL14	FBgn0040389
31224	PsGEF	FBgn0264598
31226	CG12496	FBgn0040385
31227	gt	FBgn0001150
31228	tko	FBgn0003714
31229	boi	FBgn0040388
31230	z	FBgn0004050
31234	Pdfr	FBgn0260753
31235	Vha36-3	FBgn0040377
31236	CG13759	FBgn0040376
31237	CG13760	FBgn0040375
31239	egh	FBgn0001404
31240	Klp3A	FBgn0011606
31243	CG8636	FBgn0029629
31244	Tsp3A	FBgn0040334
31245	Seipin	FBgn0040336
31246	brv3	FBgn0040333
31247	PI4KIIIalpha	FBgn0267350
31248	sgg	FBgn0003371
31249	HLH3B	FBgn0011276
31250	CG2652	FBgn0025838
31251	per	FBgn0003068
31252	CG2650	FBgn0000092
31253	CG2658	FBgn0024992
31254	CG2662	FBgn0024993
31255	Csat	FBgn0024994
31256	eIF2B-beta	FBgn0024996
31257	CG2680	FBgn0024995
31258	CG2681	FBgn0024997
31259	CG2685	FBgn0024998
31260	CG2694	FBgn0024991
31261	CG2701	FBgn0024973
31262	fs(1)Yb	FBgn0000928
31263	fs(1)Ya	FBgn0000927
31264	CG2709	FBgn0024977
31265	dwg	FBgn0000520
31266	ttm50	FBgn0250874
31267	CG2712	FBgn0024975
31268	crm	FBgn0000376
31269	Syx4	FBgn0024980
31270	CG32795	FBgn0040384
31271	w	FBgn0003996
31272	CG12498	FBgn0040356
31273	CG14416	FBgn0040352
31274	CG14417	FBgn0040353
31275	CG14418	FBgn0040354
31276	CG14419	FBgn0029639
31277	CG3526	FBgn0040355
31278	CG3588	FBgn0025643
31279	CG14424	FBgn0025644
31280	CG32793	FBgn0052793
31282	CG3592	FBgn0029642
31283	CG3598	FBgn0025645
