mmu_geneid	mmu_counts	hsa_geneid	has_counts	dme_geneid	dme_counts
26413	77	2	1	3771877	8
26417	77	9	4	43183	6
18706	66	10	4	34256	13
18707	66	15	2	45398	8
30955	66	16	1	38697	3
74769	66	18	7	32345	3
18708	65	19	2	40409	6
18709	65	20	2	43437	5
18710	65	21	1	39945	6
320207	65	22	1	36510	5
11651	59	24	1	40946	5
11652	59	25	11	33475	6
23797	59	26	3	43244	13
26395	57	27	3	261603	3
18751	55	28	2	34586	3
18750	52	30	8	34021	5
16653	51	31	7	43189	6
18747	51	32	8	39555	3
18749	50	33	4	31407	5
19108	50	34	8	42621	6
110157	50	35	6	41787	6
15461	48	36	4	34779	2
18752	47	37	3	36904	4
18033	46	38	13	40097	15
18176	46	39	14	33459	4
19697	45	40	2	40348	5
21926	45	41	1	40406	3
26396	44	43	2	39988	7
18796	39	47	2	33351	5
26419	39	48	6	35265	5
26420	39	50	6	41311	9
26414	38	51	8	33476	5
18795	37	52	2	35728	4
18797	37	53	2	32545	4
18798	37	54	4	45875	7
224129	37	55	1	44008	7
16150	36	59	1	117364	7
432530	35	60	23	43191	7
11512	34	70	4	45880	5
11514	34	71	22	31406	5
11515	34	72	1	37131	5
14683	34	81	9	37130	5
14784	34	87	9	36060	7
104111	34	88	9	35886	6
19353	33	89	9	33461	4
22059	33	90	2	43447	5
29857	33	91	2	46246	5
104110	33	92	2	44010	7
109880	33	93	2	35923	7
11513	32	95	4	42620	6
12443	32	97	1	43582	6
16193	32	98	1	44149	6
16476	32	100	3	36760	2
19094	32	102	2	39469	6
20662	32	103	3	39470	6
20663	32	107	35	41468	6
26415	32	108	32	318995	4
26416	32	109	35	317829	5
210044	32	111	37	317974	5
14682	31	112	34	37900	5
12675	30	113	32	31606	4
14677	30	114	34	41326	6
14678	30	115	35	43102	5
14679	30	116	1	41360	4
16151	30	117	4	39281	4
16176	30	124	8	42326	4
18035	30	125	8	42586	5
12313	29	126	8	41324	4
12314	29	127	8	42808	4
12315	29	128	10	37228	4
13649	29	130	8	35590	4
56637	29	131	8	39348	4
70405	29	132	2	38447	4
80796	29	134	4	39899	5
494124	29	135	7	41340	4
11848	28	136	5	44291	7
15978	28	140	2	42689	6
21803	28	142	2	41269	6
67653	28	143	1	31579	6
12015	27	146	6	32940	5
16440	27	147	6	31605	4
21808	27	148	7	34414	6
12912	26	150	2	42185	6
16438	26	151	2	36020	5
11836	25	152	2	32887	4
234779	25	153	9	41067	4
12288	24	154	7	44001	4
12289	24	155	5	32422	2
12367	24	156	4	32412	2
12540	24	157	5	31007	1
12914	24	158	3	37166	5
14281	24	159	3	34650	1
16439	24	160	4	35692	5
18803	24	161	4	40012	4
21809	24	162	1	39132	5
328572	24	163	4	40445	4
12322	23	164	1	41027	4
12323	23	174	1	36358	1
12325	23	175	2	32013	3
16000	23	178	2	37804	4
17869	23	181	1	31185	4
20779	23	182	2	246599	4
108058	23	183	1	32974	4
11911	22	185	6	36624	2
12371	22	186	3	35105	9
16333	22	187	1	38463	5
16334	22	189	6	33993	9
12575	21	191	2	38462	5
13645	21	203	2	37197	7
14103	21	204	2	37421	9
14969	21	205	2	35138	9
19055	21	207	59	43746	7
19056	21	208	59	43708	9
19057	21	210	2	42047	2
11461	20	211	3	33421	2
12913	20	212	3	40079	9
14102	20	214	1	37420	9
14960	20	215	2	41573	9
14961	20	216	2	41574	9
14998	20	217	13	39305	5
14999	20	218	9	42538	9
15000	20	219	13	32880	2
15001	20	220	9	35586	5
15002	20	221	9	32592	2
16153	20	222	9	39304	5
16412	20	223	12	38760	5
18783	20	224	13	40836	3
19058	20	225	2	41313	3
19059	20	226	7	39065	5
19354	20	229	6	41334	9
21898	20	230	6	41333	9
22034	20	231	5	53513	9
26427	20	238	1	53512	9
78284	20	239	4	53511	9
208647	20	240	5	35307	9
208677	20	242	3	53584	9
329502	20	246	4	53583	9
100504404	20	247	3	37590	9
11465	19	248	2	53507	9
12043	19	249	2	53506	9
12387	19	250	2	53504	9
13063	19	251	2	53503	9
13067	19	262	3	53502	9
16001	19	267	1	53501	9
16159	19	268	4	39436	3
16160	19	269	2	40599	3
19045	19	270	2	39279	2
19046	19	271	2	35706	4
19047	19	272	2	40204	2
78390	19	273	1	40203	2
211429	19	275	4	39280	2
231991	19	276	4	36730	3
232889	19	277	4	41192	3
271844	19	278	4	33716	3
12292	18	279	4	37638	3
12370	18	280	4	32938	1
17246	18	284	5	42220	3
18607	18	285	4	36829	5
20848	18	286	1	35829	3
54652	18	287	1	34598	3
11909	17	288	1	39031	3
11928	17	290	4	35827	3
11931	17	291	5	41457	7
11932	17	292	5	33839	7
11933	17	293	6	38076	3
12567	17	314	5	33935	3
16175	17	316	8	35824	3
16414	17	317	10	35825	3
16415	17	318	2	35826	3
20846	17	322	1	35830	3
21937	17	324	9	34597	3
27222	17	326	2	43072	3
67821	17	328	1	39391	2
98660	17	329	10	35761	5
170758	17	330	10	46068	5
232975	17	331	8	39910	3
11936	16	332	4	44117	4
14681	16	335	4	40692	4
14811	16	336	1	3355111	3
14812	16	337	2	33524	3
16451	16	338	2	40056	5
17295	16	343	1	117361	3
17874	16	345	1	31703	4
18595	16	348	1	36540	3
19211	16	351	2	34614	4
21939	16	353	2	36536	11
24088	16	354	2	317841	1
26409	16	355	20	39245	1
12576	15	356	21	34276	12
14810	15	358	2	31805	4
15962	15	359	1	34564	4
15964	15	360	1	38457	4
15965	15	361	2	37784	5
15967	15	362	1	34313	5
15968	15	364	1	37446	6
15969	15	366	1	37445	6
15970	15	367	3	42364	6
15972	15	368	1	31695	13
15974	15	369	25	38864	7
15977	15	374	2	38100	2
16416	15	375	3	35213	6
18590	15	377	1	38355	2
18591	15	381	1	40059	4
18596	15	382	3	31641	6
21812	15	383	4	34315	1
21813	15	384	4	41480	6
22030	15	387	29	37028	6
22339	15	391	3	37217	3
56717	15	394	2	38147	13
110695	15	396	2	33898	6
230396	15	397	2	33911	4
242517	15	398	2	36109	2
242519	15	399	1	33978	5
404549	15	405	4	30972	3
12028	14	406	3	44154	5
12286	14	408	5	38261	3
12444	14	409	7	43512	3
12566	14	410	2	32300	2
12571	14	411	3	41033	1
12915	14	412	1	40263	4
12928	14	427	3	32381	7
12929	14	432	1	32272	2
14083	14	433	1	33777	2
14688	14	434	1	35383	2
14701	14	435	4	40988	2
14964	14	438	2	44007	2
14972	14	440	2	38194	1
15040	14	443	3	3346188	1
15979	14	445	4	31950	2
15980	14	462	1	326144	2
17127	14	466	2	37931	2
18036	14	467	1	43507	2
18126	14	468	22	37617	2
19225	14	471	3	40066	2
19645	14	472	8	318868	2
19877	14	475	1	33776	2
20416	14	476	17	37809	3
110460	14	477	17	8673970	2
216148	14	478	17	34394	3
271849	14	479	1	32439	2
100503710	14	480	17	35491	2
11669	13	481	17	33919	2
11671	13	482	17	246451	2
12048	13	483	17	40995	1
13555	13	486	16	50246	2
13557	13	487	4	43457	2
13712	13	488	11	42291	2
13866	13	489	4	35279	2
14695	13	490	8	43829	2
14699	13	491	6	33918	2
14704	13	492	6	36998	2
14963	13	493	6	43073	2
14985	13	495	3	34925	2
14990	13	496	3	46040	2
