pathway_id	gene_id	counts
hsa00010	10327	5
hsa00010	124	8
hsa00010	125	8
hsa00010	126	8
hsa00010	127	8
hsa00010	128	10
hsa00010	130	8
hsa00010	130589	3
hsa00010	131	8
hsa00010	160287	5
hsa00010	1737	5
hsa00010	1738	7
hsa00010	2023	6
hsa00010	2026	6
hsa00010	2027	6
hsa00010	217	13
hsa00010	218	9
hsa00010	219	13
hsa00010	220	9
hsa00010	2203	7
hsa00010	221	9
hsa00010	222	9
hsa00010	223	12
hsa00010	224	13
hsa00010	226	7
hsa00010	229	6
hsa00010	230	6
hsa00010	2538	10
hsa00010	2597	6
hsa00010	26330	2
hsa00010	2645	12
hsa00010	2821	6
hsa00010	3098	12
hsa00010	3099	12
hsa00010	3101	12
hsa00010	3939	6
hsa00010	3945	5
hsa00010	3948	5
hsa00010	441531	5
hsa00010	501	15
hsa00010	5105	11
hsa00010	5106	11
hsa00010	5160	6
hsa00010	5161	6
hsa00010	5162	6
hsa00010	5211	9
hsa00010	5213	8
hsa00010	5214	9
hsa00010	5223	5
hsa00010	5224	5
hsa00010	5230	5
hsa00010	5232	4
hsa00010	5236	7
hsa00010	5313	10
hsa00010	5315	8
hsa00010	55276	7
hsa00010	55902	5
hsa00010	57818	10
hsa00010	669	3
hsa00010	7167	6
hsa00010	80201	12
hsa00010	83440	3
hsa00010	84532	5
hsa00010	8789	7
hsa00010	92483	5
hsa00010	92579	10
hsa00020	1431	6
hsa00020	1737	5
hsa00020	1738	7
hsa00020	1743	4
hsa00020	2271	6
hsa00020	3417	7
hsa00020	3418	7
hsa00020	3419	5
hsa00020	3420	5
hsa00020	3421	5
hsa00020	4190	7
hsa00020	4191	6
hsa00020	47	2
hsa00020	48	6
hsa00020	4967	5
hsa00020	50	6
hsa00020	5091	5
hsa00020	5105	11
hsa00020	5106	11
hsa00020	5160	6
hsa00020	5161	6
hsa00020	5162	6
hsa00020	55753	5
hsa00020	6389	8
hsa00020	6390	8
hsa00020	6391	8
hsa00020	6392	8
hsa00020	8801	4
hsa00020	8802	4
hsa00020	8803	4
hsa00030	2203	7
hsa00030	221823	5
hsa00030	226	7
hsa00030	229	6
hsa00030	22934	4
hsa00030	230	6
hsa00030	2539	4
hsa00030	25796	3
hsa00030	2821	6
