pathway_id	gene_id	counts
mmu00010	100042025	6
mmu00010	103988	12
mmu00010	106557	5
mmu00010	110695	15
mmu00010	11522	8
mmu00010	11529	8
mmu00010	11532	10
mmu00010	11669	13
mmu00010	11670	9
mmu00010	11671	13
mmu00010	11674	7
mmu00010	11676	6
mmu00010	12183	3
mmu00010	13382	7
mmu00010	13806	6
mmu00010	13807	6
mmu00010	13808	6
mmu00010	14120	7
mmu00010	14121	7
mmu00010	14377	10
mmu00010	14378	10
mmu00010	14433	6
mmu00010	14447	2
mmu00010	14751	6
mmu00010	15275	12
mmu00010	15277	12
mmu00010	16828	6
mmu00010	16832	5
mmu00010	16833	5
mmu00010	18534	11
mmu00010	18597	6
mmu00010	18598	6
mmu00010	18641	9
mmu00010	18642	8
mmu00010	18648	5
mmu00010	18655	5
mmu00010	18663	4
mmu00010	18746	8
mmu00010	18770	10
mmu00010	212032	12
mmu00010	216019	12
mmu00010	21991	6
mmu00010	230163	6
mmu00010	235339	5
mmu00010	26876	8
mmu00010	319625	3
mmu00010	353204	6
mmu00010	433182	6
mmu00010	56012	5
mmu00010	56421	9
mmu00010	56752	12
mmu00010	56847	9
mmu00010	58810	5
mmu00010	60525	5
mmu00010	621603	9
mmu00010	66681	7
mmu00010	67689	9
mmu00010	68263	6
mmu00010	68401	10
mmu00010	68738	5
mmu00010	72141	3
mmu00010	72157	7
mmu00010	72535	13
mmu00010	73458	9
mmu00010	74551	11
mmu00020	104112	2
mmu00020	11428	6
mmu00020	11429	6
mmu00020	12974	6
mmu00020	13382	7
mmu00020	14194	6
mmu00020	15926	7
mmu00020	15929	5
mmu00020	170718	5
mmu00020	17448	6
mmu00020	17449	7
mmu00020	18293	5
mmu00020	18534	11
mmu00020	18563	5
mmu00020	18597	6
mmu00020	18598	6
mmu00020	20916	4
mmu00020	20917	4
mmu00020	235339	5
mmu00020	239017	5
mmu00020	243996	5
mmu00020	269951	7
mmu00020	56451	4
mmu00020	66052	8
mmu00020	66925	8
mmu00020	66945	8
mmu00020	67680	8
mmu00020	67834	5
mmu00020	68263	6
mmu00020	71832	6
mmu00020	74551	11
mmu00020	78920	4
mmu00030	100198	3
mmu00030	110208	4
mmu00030	110639	5
mmu00030	11674	7
mmu00030	11676	6
mmu00030	14120	7
mmu00030	14121	7
mmu00030	14380	4
mmu00030	14381	4
mmu00030	14751	6
mmu00030	18641	9
mmu00030	18642	8
mmu00030	19139	5
mmu00030	19733	5
mmu00030	19895	4
mmu00030	21351	4
mmu00030	21881	4
mmu00030	230163	6
mmu00030	232449	1
mmu00030	328099	5
mmu00030	353204	6
mmu00030	56421	9
mmu00030	66171	3
mmu00030	66646	5
mmu00030	66681	7
mmu00030	71336	1
mmu00030	72157	7
mmu00030	74419	4
mmu00030	75456	5
mmu00030	83553	4
mmu00040	100559	11
mmu00040	100727	11
mmu00040	102448	2
mmu00040	110006	7
mmu00040	112417	11
mmu00040	11669	13
mmu00040	11671	13
mmu00040	11677	5
mmu00040	11997	5
mmu00040	14187	5
mmu00040	16591	4
mmu00040	20322	3
mmu00040	216558	5
mmu00040	22235	5
mmu00040	22236	11
mmu00040	22238	11
mmu00040	231396	11
mmu00040	243085	11
mmu00040	394430	11
mmu00040	394432	11
mmu00040	394433	11
mmu00040	394434	11
mmu00040	394435	11
mmu00040	394436	11
mmu00040	552899	11
mmu00040	58810	5
mmu00040	66646	5
mmu00040	67861	5
mmu00040	67880	2
mmu00040	68631	2
mmu00040	71755	2
mmu00040	71773	11
mmu00040	72094	11
mmu00040	72535	13
mmu00040	94215	11
mmu00040	94284	11
mmu00051	110119	3
mmu00051	11674	7
mmu00051	11676	6
mmu00051	11677	5
mmu00051	11997	5
mmu00051	14120	7
mmu00051	14121	7
mmu00051	14187	5
mmu00051	15275	12
mmu00051	15277	12
mmu00051	16548	2
mmu00051	170768	3
mmu00051	18639	3
mmu00051	18640	4
mmu00051	18641	9
mmu00051	18642	8
mmu00051	20322	3
mmu00051	212032	12
mmu00051	216019	12
mmu00051	218138	3
mmu00051	21991	6
mmu00051	22122	3
mmu00051	230163	6
mmu00051	234730	3
mmu00051	270198	3
mmu00051	29858	3
mmu00051	319801	1
mmu00051	331026	3
mmu00051	353204	6
mmu00051	54128	3
mmu00051	56421	9
mmu00051	67861	5
mmu00051	69080	3
mmu00051	75454	1
mmu00051	75540	3
mmu00052	103988	12
mmu00052	11605	5
mmu00052	11677	5
mmu00052	11997	5
mmu00052	12091	7
mmu00052	14187	5
mmu00052	14377	10
mmu00052	14378	10
mmu00052	14387	4
mmu00052	14430	4
mmu00052	14595	6
mmu00052	14635	3
mmu00052	15275	12
mmu00052	15277	12
mmu00052	16770	2
mmu00052	18641	9
mmu00052	18642	8
mmu00052	212032	12
mmu00052	216019	12
mmu00052	216558	5
mmu00052	226413	3
mmu00052	232714	4
mmu00052	319625	3
mmu00052	53418	6
mmu00052	56421	9
mmu00052	66681	7
mmu00052	67861	5
mmu00052	68401	10
mmu00052	69976	3
mmu00052	69983	4
mmu00052	72157	7
mmu00052	74246	3
mmu00052	76051	3
mmu00053	100559	11
mmu00053	100727	11
mmu00053	110695	15
mmu00053	112417	11
mmu00053	11669	13
mmu00053	11671	13
mmu00053	19733	5
mmu00053	22235	5
mmu00053	22236	11
mmu00053	22238	11
mmu00053	231396	11
mmu00053	243085	11
mmu00053	268756	2
mmu00053	394430	11
mmu00053	394432	11
mmu00053	394433	11
mmu00053	394434	11
mmu00053	394435	11
mmu00053	394436	11
mmu00053	552899	11
mmu00053	56727	2
mmu00053	56752	12
mmu00053	71773	11
mmu00053	72094	11
mmu00053	72535	13
mmu00053	94215	11
mmu00053	94284	11
mmu00061	100705	8
mmu00061	107476	7
mmu00061	14081	7
mmu00061	14104	5
mmu00061	216739	7
mmu00061	223722	3
mmu00061	328845	6
mmu00061	433256	7
mmu00061	50790	7
mmu00061	71147	4
mmu00061	74205	7
mmu00061	94180	6
mmu00061	99035	2
mmu00062	106529	4
mmu00062	12686	1
mmu00062	15107	8
mmu00062	170439	4
mmu00062	171210	4
mmu00062	171281	3
mmu00062	171282	3
mmu00062	19063	4
mmu00062	217698	3
mmu00062	231086	5
mmu00062	26897	3
mmu00062	26922	3
mmu00062	52538	5
mmu00062	54325	1
mmu00062	54326	3
mmu00062	54397	4
mmu00062	56348	5
mmu00062	68801	3
mmu00062	70025	2
mmu00062	70757	4
mmu00062	74559	1
mmu00062	83603	1
mmu00062	93747	11
mmu00062	97212	12
mmu00071	100040843	7
mmu00071	110446	13
mmu00071	110460	14
mmu00071	110695	15
mmu00071	11363	4
mmu00071	11364	8
mmu00071	11370	3
mmu00071	113868	8
mmu00071	11409	6
mmu00071	11430	8
mmu00071	11522	8
mmu00071	11529	8
mmu00071	11532	10
mmu00071	11669	13
mmu00071	11671	13
mmu00071	12894	5
mmu00071	12895	5
mmu00071	12896	3
mmu00071	13117	7
mmu00071	13118	7
mmu00071	13119	7
mmu00071	13177	1
mmu00071	14081	7
mmu00071	15107	8
mmu00071	216739	7
mmu00071	230639	7
mmu00071	231086	5
mmu00071	235674	8
mmu00071	23986	2
mmu00071	26876	8
mmu00071	270076	4
mmu00071	277753	7
mmu00071	328845	6
mmu00071	433256	7
mmu00071	435802	7
mmu00071	50790	7
mmu00071	52538	5
mmu00071	56752	12
mmu00071	666168	7
mmu00071	66885	4
mmu00071	72535	13
mmu00071	74147	12
mmu00071	74205	7
mmu00071	78070	5
mmu00071	80911	8
mmu00071	93747	11
mmu00071	94180	6
mmu00071	97212	12
mmu00072	110446	13
mmu00072	110460	14
mmu00072	15356	5
mmu00072	15360	6
mmu00072	208715	5
mmu00072	353371	3
mmu00072	64059	3
mmu00072	67041	3
mmu00072	69772	3
mmu00072	71911	3
mmu00100	12613	5
mmu00100	13081	3
mmu00100	13115	3
mmu00100	13121	2
mmu00100	13360	2
mmu00100	13595	2
mmu00100	14137	2
mmu00100	15490	4
mmu00100	16889	2
mmu00100	16987	2
mmu00100	18194	2
mmu00100	20652	1
mmu00100	20775	2
mmu00100	223920	1
mmu00100	235293	2
mmu00100	244209	2
mmu00100	66234	2
mmu00100	73166	2
mmu00100	74754	2
mmu00120	101502	2
mmu00120	104086	3
mmu00120	12012	6
mmu00120	12642	1
mmu00120	13116	1
mmu00120	13122	5
mmu00120	13123	2
mmu00120	13124	3
mmu00120	15488	3
mmu00120	170789	3
mmu00120	17117	3
mmu00120	20280	4
mmu00120	208665	3
mmu00120	26459	4
mmu00120	56050	1
mmu00120	93732	4
mmu00130	12850	2
mmu00130	15445	4
mmu00130	18104	1
mmu00130	217707	2
mmu00130	230027	2
mmu00130	234724	7
mmu00130	27973	1
mmu00130	52064	2
mmu00130	56316	1
mmu00130	71883	2
mmu00140	100041375	5
mmu00140	100559	11
mmu00140	100727	11
mmu00140	105349	1
mmu00140	107141	8
mmu00140	110115	2
mmu00140	112417	11
mmu00140	12846	4
mmu00140	13070	3
mmu00140	13072	2
mmu00140	13074	4
mmu00140	13075	3
mmu00140	13076	7
mmu00140	13077	9
mmu00140	13078	6
mmu00140	13079	2
mmu00140	13088	5
mmu00140	13089	5
mmu00140	13090	5
mmu00140	13094	5
mmu00140	13095	8
mmu00140	13096	8
mmu00140	13097	8
mmu00140	13098	8
mmu00140	13099	8
mmu00140	13101	2
mmu00140	13105	2
mmu00140	13106	8
mmu00140	13112	5
mmu00140	13113	5
mmu00140	13114	5
mmu00140	13122	5
mmu00140	13123	2
mmu00140	14979	2
mmu00140	15483	4
mmu00140	15484	2
mmu00140	15485	3
mmu00140	15486	3
mmu00140	15487	2
mmu00140	15490	4
mmu00140	15492	3
mmu00140	15493	3
mmu00140	15495	3
mmu00140	15496	3
mmu00140	15497	3
mmu00140	20860	1
mmu00140	208665	3
mmu00140	20905	1
mmu00140	22236	11
mmu00140	22238	11
