species	pathway_class	class_detail	pathway_name	pathway_id
mmu	Metabolism	Global and overview maps	Metabolic pathways	mmu01100
mmu	Metabolism	Global and overview maps	Carbon metabolism	mmu01200
mmu	Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism	mmu01210
mmu	Metabolism	Global and overview maps	Fatty acid metabolism	mmu01212
mmu	Metabolism	Global and overview maps	Biosynthesis of amino acids	mmu01230
mmu	Metabolism	Global and overview maps	Degradation of aromatic compounds	mmu01220
mmu	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	mmu00010
mmu	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	mmu00020
mmu	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	mmu00030
mmu	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	mmu00040
mmu	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	mmu00051
mmu	Metabolism	Carbohydrate metabolism	Galactose metabolism	mmu00052
mmu	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	mmu00053
mmu	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	mmu00500
mmu	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	mmu00520
mmu	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	mmu00620
mmu	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	mmu00630
mmu	Metabolism	Carbohydrate metabolism	Propanoate metabolism	mmu00640
mmu	Metabolism	Carbohydrate metabolism	Butanoate metabolism	mmu00650
mmu	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	mmu00562
mmu	Metabolism	Energy metabolism	Oxidative phosphorylation	mmu00190
mmu	Metabolism	Energy metabolism	Nitrogen metabolism	mmu00910
mmu	Metabolism	Energy metabolism	Sulfur metabolism	mmu00920
mmu	Metabolism	Lipid metabolism	Fatty acid biosynthesis	mmu00061
mmu	Metabolism	Lipid metabolism	Fatty acid elongation	mmu00062
mmu	Metabolism	Lipid metabolism	Fatty acid degradation	mmu00071
mmu	Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies	mmu00072
mmu	Metabolism	Lipid metabolism	Steroid biosynthesis	mmu00100
mmu	Metabolism	Lipid metabolism	Primary bile acid biosynthesis	mmu00120
mmu	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	mmu00140
mmu	Metabolism	Lipid metabolism	Glycerolipid metabolism	mmu00561
mmu	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	mmu00564
mmu	Metabolism	Lipid metabolism	Ether lipid metabolism	mmu00565
mmu	Metabolism	Lipid metabolism	Sphingolipid metabolism	mmu00600
mmu	Metabolism	Lipid metabolism	Arachidonic acid metabolism	mmu00590
mmu	Metabolism	Lipid metabolism	Linoleic acid metabolism	mmu00591
mmu	Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism	mmu00592
